FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2
22FEB2021,30 o menos,F,Covishield,Publico,13,0
22FEB2021,30 o menos,F,Sputnik,Privado,97,5
22FEB2021,30 o menos,F,Sputnik,Publico,284,7
22FEB2021,30 o menos,F,Sputnik,Publico nacional,11,2
22FEB2021,30 o menos,M,Covishield,Publico,4,0
22FEB2021,30 o menos,M,Sputnik,Privado,63,4
22FEB2021,30 o menos,M,Sputnik,Publico,107,3
22FEB2021,30 o menos,M,Sputnik,Publico nacional,5,0
22FEB2021,31 a 40,F,Covishield,Publico,10,0
22FEB2021,31 a 40,F,Sputnik,Privado,201,11
22FEB2021,31 a 40,F,Sputnik,Publico,562,13
22FEB2021,31 a 40,F,Sputnik,Publico nacional,23,0
22FEB2021,31 a 40,M,Covishield,Publico,5,0
22FEB2021,31 a 40,M,Sputnik,Privado,103,9
22FEB2021,31 a 40,M,Sputnik,Publico,202,12
22FEB2021,31 a 40,M,Sputnik,Publico nacional,5,1
22FEB2021,41 a 50,F,Covishield,Publico,13,0
22FEB2021,41 a 50,F,Sputnik,Privado,161,6
22FEB2021,41 a 50,F,Sputnik,Publico,449,12
22FEB2021,41 a 50,F,Sputnik,Publico nacional,24,2
22FEB2021,41 a 50,M,Covishield,Publico,3,0
22FEB2021,41 a 50,M,Sputnik,Privado,76,6
22FEB2021,41 a 50,M,Sputnik,Publico,150,8
22FEB2021,41 a 50,M,Sputnik,Publico nacional,17,0
22FEB2021,51 a 60,F,Covishield,Publico,6,0
22FEB2021,51 a 60,F,Sputnik,Privado,79,3
22FEB2021,51 a 60,F,Sputnik,Publico,405,9
22FEB2021,51 a 60,F,Sputnik,Publico nacional,19,0
22FEB2021,51 a 60,M,Covishield,Publico,6,0
22FEB2021,51 a 60,M,Sputnik,Privado,39,2
22FEB2021,51 a 60,M,Sputnik,Publico,180,8
22FEB2021,51 a 60,M,Sputnik,Publico nacional,10,0
22FEB2021,61 a 70,F,Covishield,Publico,22,0
22FEB2021,61 a 70,F,Sputnik,Privado,29,0
22FEB2021,61 a 70,F,Sputnik,Publico,233,0
22FEB2021,61 a 70,F,Sputnik,Publico nacional,9,0
22FEB2021,61 a 70,M,Covishield,Publico,104,0
22FEB2021,61 a 70,M,Sputnik,Privado,25,0
22FEB2021,61 a 70,M,Sputnik,Publico,128,0
22FEB2021,61 a 70,M,Sputnik,Publico nacional,4,0
22FEB2021,71 a 80,F,Covishield,Publico,417,0
22FEB2021,71 a 80,F,Sputnik,Privado,4,0
22FEB2021,71 a 80,F,Sputnik,Publico,90,0
22FEB2021,71 a 80,M,Covishield,Publico,294,0
22FEB2021,71 a 80,M,Sputnik,Privado,9,0
22FEB2021,71 a 80,M,Sputnik,Publico,61,0
22FEB2021,71 a 80,M,Sputnik,Publico nacional,1,0
22FEB2021,81 a 90,F,Covishield,Publico,2334,0
22FEB2021,81 a 90,F,Sputnik,Publico,8,0
22FEB2021,81 a 90,M,Covishield,Publico,1425,0
22FEB2021,81 a 90,M,Sputnik,Publico,16,0
22FEB2021,91 o mas,F,Covishield,Publico,400,0
22FEB2021,91 o mas,M,Covishield,Publico,155,0
22FEB2021,91 o mas,M,Sputnik,Publico,2,0
23FEB2021,30 o menos,F,Covishield,Privado,1,0
23FEB2021,30 o menos,F,Covishield,Publico,14,0
23FEB2021,30 o menos,F,Sputnik,Privado,100,14
23FEB2021,30 o menos,F,Sputnik,Publico,298,55
23FEB2021,30 o menos,F,Sputnik,Publico nacional,27,4
23FEB2021,30 o menos,M,Covishield,Privado,1,0
23FEB2021,30 o menos,M,Covishield,Publico,1,0
23FEB2021,30 o menos,M,Sputnik,Privado,80,9
23FEB2021,30 o menos,M,Sputnik,Publico,117,22
23FEB2021,30 o menos,M,Sputnik,Publico nacional,14,5
23FEB2021,31 a 40,F,Covishield,Privado,3,0
23FEB2021,31 a 40,F,Covishield,Publico,8,0
23FEB2021,31 a 40,F,Sputnik,Privado,224,16
23FEB2021,31 a 40,F,Sputnik,Publico,625,133
23FEB2021,31 a 40,F,Sputnik,Publico nacional,66,10
23FEB2021,31 a 40,M,Covishield,Publico,2,0
23FEB2021,31 a 40,M,Sputnik,Privado,104,14
23FEB2021,31 a 40,M,Sputnik,Publico,218,54
23FEB2021,31 a 40,M,Sputnik,Publico nacional,40,5
23FEB2021,41 a 50,F,Covishield,Privado,1,0
23FEB2021,41 a 50,F,Covishield,Publico,9,0
23FEB2021,41 a 50,F,Sputnik,Privado,163,15
23FEB2021,41 a 50,F,Sputnik,Publico,585,157
23FEB2021,41 a 50,F,Sputnik,Publico nacional,40,16
23FEB2021,41 a 50,M,Covishield,Publico,2,0
23FEB2021,41 a 50,M,Sputnik,Privado,74,6
23FEB2021,41 a 50,M,Sputnik,Publico,226,70
23FEB2021,41 a 50,M,Sputnik,Publico nacional,34,8
23FEB2021,51 a 60,F,Covishield,Privado,5,0
23FEB2021,51 a 60,F,Covishield,Publico,3,0
23FEB2021,51 a 60,F,Sputnik,Privado,81,9
23FEB2021,51 a 60,F,Sputnik,Publico,443,205
23FEB2021,51 a 60,F,Sputnik,Publico nacional,31,13
23FEB2021,51 a 60,M,Covishield,Privado,3,0
23FEB2021,51 a 60,M,Covishield,Publico,4,0
23FEB2021,51 a 60,M,Sputnik,Privado,52,3
23FEB2021,51 a 60,M,Sputnik,Publico,188,90
23FEB2021,51 a 60,M,Sputnik,Publico nacional,15,3
23FEB2021,61 a 70,F,Covishield,Publico,13,0
23FEB2021,61 a 70,F,Sputnik,Privado,26,2
23FEB2021,61 a 70,F,Sputnik,Publico,237,307
23FEB2021,61 a 70,F,Sputnik,Publico nacional,9,17
23FEB2021,61 a 70,M,Covishield,Publico,43,0
23FEB2021,61 a 70,M,Sputnik,Privado,27,6
23FEB2021,61 a 70,M,Sputnik,Publico,159,242
23FEB2021,61 a 70,M,Sputnik,Publico nacional,8,19
23FEB2021,71 a 80,F,Covishield,Publico,412,0
23FEB2021,71 a 80,F,Sputnik,Privado,1,0
23FEB2021,71 a 80,F,Sputnik,Publico,49,29
23FEB2021,71 a 80,M,Covishield,Publico,269,0
23FEB2021,71 a 80,M,Sputnik,Privado,8,2
23FEB2021,71 a 80,M,Sputnik,Publico,55,30
23FEB2021,71 a 80,M,Sputnik,Publico nacional,2,1
23FEB2021,81 a 90,F,Covishield,Publico,2350,0
23FEB2021,81 a 90,F,Sputnik,Publico,13,1
23FEB2021,81 a 90,M,Covishield,Publico,1425,0
23FEB2021,81 a 90,M,Sputnik,Publico,12,4
23FEB2021,81 a 90,M,Sputnik,Publico nacional,1,0
23FEB2021,91 o mas,F,Covishield,Publico,418,0
23FEB2021,91 o mas,F,Sputnik,Publico,1,0
23FEB2021,91 o mas,M,Covishield,Publico,173,0
23FEB2021,91 o mas,M,Sputnik,Publico,0,1
24FEB2021,30 o menos,F,Covishield,Privado,3,0
24FEB2021,30 o menos,F,Covishield,Publico,8,0
24FEB2021,30 o menos,F,Sputnik,Privado,116,40
24FEB2021,30 o menos,F,Sputnik,Publico,216,47
24FEB2021,30 o menos,F,Sputnik,Publico nacional,8,7
24FEB2021,30 o menos,M,Covishield,Privado,1,0
24FEB2021,30 o menos,M,Covishield,Publico,2,0
24FEB2021,30 o menos,M,Sputnik,Privado,69,22
24FEB2021,30 o menos,M,Sputnik,Publico,133,23
24FEB2021,30 o menos,M,Sputnik,Publico nacional,4,0
24FEB2021,31 a 40,F,Covishield,Privado,4,0
24FEB2021,31 a 40,F,Covishield,Publico,14,0
24FEB2021,31 a 40,F,Sputnik,Privado,251,77
24FEB2021,31 a 40,F,Sputnik,Publico,488,151
24FEB2021,31 a 40,F,Sputnik,Publico nacional,18,12
24FEB2021,31 a 40,M,Covishield,Privado,6,0
24FEB2021,31 a 40,M,Covishield,Publico,6,0
24FEB2021,31 a 40,M,Sputnik,Privado,125,61
24FEB2021,31 a 40,M,Sputnik,Publico,233,76
24FEB2021,31 a 40,M,Sputnik,Publico nacional,16,5
24FEB2021,41 a 50,F,Covishield,Privado,6,0
24FEB2021,41 a 50,F,Covishield,Publico,10,0
24FEB2021,41 a 50,F,Sputnik,Privado,214,65
24FEB2021,41 a 50,F,Sputnik,Publico,441,170
24FEB2021,41 a 50,F,Sputnik,Publico nacional,7,18
